GRAB *2190252-4-042;Expenses|Misc;{'Expenses|Taxi|Grab'}
GRAB *2190252-4-041;Expenses|Misc;{'Expenses|Taxi|Grab'}
GRAB *2190252-4-045;Expenses|Misc;{'Expenses|Taxi|Grab'}
GRAB *2190252-4-043;Expenses|Misc;{'Expenses|Taxi|Grab'}
MELLOWER COFFEE (SINGA;Expenses|Misc
GRAB *2190252-4-046;Expenses|Misc;{'Expenses|Taxi|Grab'}
AKEMI UCHI-HQ;Expenses|Misc
URBAN ROTI-IND GRILL&B;Expenses|Misc
TWG TEA COMPANY-MBS#B2;Expenses|Misc
GRAB *2190252-4-048;Expenses|Misc;{'Expenses|Taxi|Grab'}
GRAB *2190252-4-049;Expenses|Misc;{'Expenses|Taxi|Grab'}
GRAB *2190252-4-051;Expenses|Misc;{'Expenses|Taxi|Grab'}
